source_file	total_chunks	chunk_index	category	title	file_path	document
01_Política_de_Crédito__Documento_1.txt	1	0	Política de Crédito	Política de Crédito - Documento 1 - Chunk 1	conteudo_ficticio\01_Política_de_Crédito__Documento_1.txt	Título: Política de Crédito - Documento 1 Categoria: Política de Crédito Empréstimos são concedidos apenas após verificação cadastral completa. O sistema de crédito é integrado com bureaus externos para validação de informações. Casos de suspeita de fraude são imediatamente reportados e bloqueados.
02_Política_de_Crédito__Documento_2.txt	1	0	Política de Crédito	Política de Crédito - Documento 2 - Chunk 1	conteudo_ficticio\02_Política_de_Crédito__Documento_2.txt	Título: Política de Crédito - Documento 2 Categoria: Política de Crédito  Análises adicionais podem ser exigidas para clientes com histórico de inadimplência. A política de crédito define critérios rigorosos para a concessão de empréstimos. Esta linha não tem relação com o conteúdo da categoria. Clientes podem solicitar reavaliação de limite após 6 meses de relacionamento.
03_Política_de_Crédito__Documento_3.txt	1	0	Política de Crédito	Política de Crédito - Documento 3 - Chunk 1	conteudo_ficticio\03_Política_de_Crédito__Documento_3.txt	Título: Política de Crédito - Documento 3 Categoria: Política de Crédito  Informação irrelevante: Clientes negativados devem quitar dívidas anteriores antes de nova análise. A aprovação final depende do comitê de crédito. Revisões periódicas são realizadas nos contratos de maior risco.
04_Política_de_Crédito__Documento_4.txt	1	0	Política de Crédito	Política de Crédito - Documento 4 - Chunk 1	conteudo_ficticio\04_Política_de_Crédito__Documento_4.txt	Título: Política de Crédito - Documento 4 Categoria: Política de Crédito O cliente deve apresentar comprovante de renda e residência atualizados. A empresa segue padrões estabelecidos pelo Banco Central do Brasil. Limites de crédito são definidos com base em renda, score e análise de risco.
05_Onboarding__Documento_1.txt	1	0	Onboarding	Onboarding - Documento 1 - Chunk 1	conteudo_ficticio\05_Onboarding__Documento_1.txt	Título: Onboarding - Documento 1 Esta linha não tem relação com o conteúdo da categoria. Cada novo colaborador recebe um mentor para acompanhamento nos primeiros dias. O processo de onboarding começa com a coleta de dados pessoais e profissionais. Treinamentos obrigatórios incluem ética, segurança e uso de sistemas internos.
06_Onboarding__Documento_2.txt	1	0	Onboarding	Onboarding - Documento 2 - Chunk 1	conteudo_ficticio\06_Onboarding__Documento_2.txt	Título: Onboarding - Documento 2 O kit de boas-vindas inclui manual institucional e acesso aos sistemas. Dúvidas podem ser enviadas via chat interno com o RH. O colaborador deve enviar documentos via plataforma digital.
07_Onboarding__Documento_3.txt	1	0	Onboarding	Onboarding - Documento 3 - Chunk 1	conteudo_ficticio\07_Onboarding__Documento_3.txt	Título: Onboarding - Documento 3 Categoria: Onboarding  Informação irrelevante: A área de RH realiza reuniões de integração toda segunda-feira. Esta linha não tem relação com o conteúdo da categoria. O processo deve ser concluído em até 5 dias úteis após admissão. A plataforma de onboarding oferece tutoriais interativos sobre os processos.
08_Onboarding__Documento_4.txt	1	0	Onboarding	Onboarding - Documento 4 - Chunk 1	conteudo_ficticio\08_Onboarding__Documento_4.txt	Título: Onboarding - Documento 4 Categoria: Onboarding  Pendências documentais impedem a liberação do e-mail corporativo. Ao final do onboarding, é aplicada uma avaliação de conhecimento. O contrato digital é assinado por meio de autenticação em duas etapas.
09_Produtos_e_Serviços__Documento_1.txt	1	0	Produtos e Serviços	Produtos e Serviços - Documento 1 - Chunk 1	conteudo_ficticio\09_Produtos_e_Serviços__Documento_1.txt	Título: Produtos e Serviços - Documento 1 Categoria: Produtos e Serviços  Clientes podem antecipar o FGTS para projetos pessoais ou dívidas. Oferecemos crédito pessoal com taxas a partir de 1,5% ao mês. Financiamento de veículos pode ser feito com entrada mínima de 20%.
10_Produtos_e_Serviços__Documento_2.txt	1	0	Produtos e Serviços	Produtos e Serviços - Documento 2 - Chunk 1	conteudo_ficticio\10_Produtos_e_Serviços__Documento_2.txt	Título: Produtos e Serviços - Documento 2 Categoria: Produtos e Serviços O cartão consignado é destinado a aposentados e servidores públicos. O cliente pode acompanhar todas as etapas do processo via portal. Parcelamentos são ajustáveis conforme perfil de pagamento do cliente.
11_Produtos_e_Serviços__Documento_3.txt	1	0	Produtos e Serviços	Produtos e Serviços - Documento 3 - Chunk 1	conteudo_ficticio\11_Produtos_e_Serviços__Documento_3.txt	Título: Produtos e Serviços - Documento 3 Categoria: Produtos e Serviços A aprovação depende de análise automatizada e posterior confirmação humana. Produtos têm suporte via chat, telefone e atendimento presencial. Cada produto possui requisitos específicos de elegibilidade e documentação.
12_Produtos_e_Serviços__Documento_4.txt	1	0	Produtos e Serviços	Produtos e Serviços - Documento 4 - Chunk 1	conteudo_ficticio\12_Produtos_e_Serviços__Documento_4.txt	Título: Produtos e Serviços - Documento 4 Categoria: Produtos e Serviços  Oferecemos cashback em compras com o cartão de crédito próprio. A contratação dos produtos é totalmente digital e segura. Simulações podem ser feitas online ou pelo aplicativo oficial.
13_Segurança_da_Informação__Documento_1.txt	1	0	Segurança da Informação	Segurança da Informação - Documento 1 - Chunk 1	conteudo_ficticio\13_Segurança_da_Informação__Documento_1.txt	Título: Segurança da Informação - Documento 1 Categoria: Segurança da Informação A empresa cumpre todas as exigências da LGPD em seus processos. Relatórios de segurança são enviados mensalmente à diretoria. Esta linha não tem relação com o conteúdo da categoria. Treinamentos de segurança da informação são realizados a cada semestre.
14_Segurança_da_Informação__Documento_2.txt	1	0	Segurança da Informação	Segurança da Informação - Documento 2 - Chunk 1	conteudo_ficticio\14_Segurança_da_Informação__Documento_2.txt	Título: Segurança da Informação - Documento 2 Categoria: Segurança da Informação O sistema bloqueia acessos após 5 tentativas de login incorretas. A equipe de TI monitora e registra acessos suspeitos 24/7. Todos os dispositivos corporativos devem conter antivírus homologado.
15_Segurança_da_Informação__Documento_3.txt	1	0	Segurança da Informação	Segurança da Informação - Documento 3 - Chunk 1	conteudo_ficticio\15_Segurança_da_Informação__Documento_3.txt	Título: Segurança da Informação - Documento 3 Categoria: Segurança da Informação A autenticação em dois fatores é obrigatória para acessos sensíveis. Senhas devem conter pelo menos 12 caracteres e símbolos especiais. Incidentes de segurança devem ser reportados em até 2 horas.
16_Segurança_da_Informação__Documento_4.txt	1	0	Segurança da Informação	Segurança da Informação - Documento 4 - Chunk 1	conteudo_ficticio\16_Segurança_da_Informação__Documento_4.txt	Título: Segurança da Informação - Documento 4 Categoria: Segurança da Informação  Informação irrelevante: Backups são realizados diariamente em servidores em nuvem seguros. Todos os sistemas utilizam criptografia de ponta a ponta (AES-256).  É proibido o uso de e-mail pessoal para fins corporativos.
17_Compliance__Documento_1.txt	1	0	Compliance	Compliance - Documento 1 - Chunk 1	conteudo_ficticio\17_Compliance__Documento_1.txt	Categoria: Compliance  Fornecedores passam por processos de due diligence antes da contratação. A política de compliance garante conformidade com leis e regulamentos internos. O canal de ética funciona 24 horas por dia, todos os dias.
18_Compliance__Documento_2.txt	1	0	Compliance	Compliance - Documento 2 - Chunk 1	conteudo_ficticio\18_Compliance__Documento_2.txt	Categoria: Compliance  Conflitos de interesse devem ser comunicados imediatamente ao gestor. Infrações éticas são avaliadas pelo comitê de compliance. Casos de corrupção são tratados com tolerância zero.
19_Compliance__Documento_3.txt	1	0	Compliance	Compliance - Documento 3 - Chunk 1	conteudo_ficticio\19_Compliance__Documento_3.txt	Registros e documentos são armazenados conforme normas da CVM. A empresa atua em conformidade com diretrizes do Banco Central. Treinamentos de integridade são obrigatórios e realizados anualmente.
